contig ID,length,best subject sequence ID,taxonomy,percentage of identitcal matches,e-value,alignment length,number of mismatches,number of gap openings,start of alignment in query,end of alignment in query,start of alignment in subject,end of alignment in subject,bitscore
k141_193863,529,YP_009551357.1 putative capsid protein [Fly associated circular virus 7],"root,Viruses,unclassified viruses,unclassified DNA viruses,unclassified ssDNA viruses,Fly associated circular virus 7",42.6,9.30E-18,148,64,4,107,526,40,174,100.1
k141_194527,1228,"AVX53294.1 RNA-dependent RNA polymerase, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",67.9,1.00E-155,402,127,1,1202,3,1,402,559.7
k141_194588,3994,AMQ23536.1 replicase [Leviviridae sp.],"root,Viruses,Riboviria,Leviviridae,unclassified Leviviridae,Leviviridae sp.",29.1,4.00E-36,506,296,14,2101,662,63,531,164.1
k141_194626,1112,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",45.6,1.30E-56,261,126,5,293,1042,23,278,230.3
k141_19473,717,YP_009333261.1 RNA-dependent RNA polymerase [Beihai narna-like virus 23],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai narna-like virus 23",51,7.90E-44,202,94,3,120,716,1,200,187.2
k141_194740,413,YP_009551574.1 RNA-dependent RNA polymerase [Chicken picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Chicken picobirnavirus",65,1.50E-47,137,48,0,3,413,62,198,198.7
k141_194799,359,AXF38749.1 RNA-dependent RNA polymerase [Shelduck picobirnavirus II],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Shelduck picobirnavirus II",67.2,9.40E-38,122,34,2,355,2,116,235,166
k141_195014,317,AXF52476.1 hypothetical protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",42.7,5.20E-16,103,56,1,17,316,53,155,93.6
k141_195071,711,YP_009283137.1 endonuclease fused to N-terminal Zn finger domain [Bacillus phage AR9],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Bacillus phage AR9",42.8,1.60E-25,145,80,1,709,275,92,233,126.3
k141_195487,494,WP_005936261.1 putative lipoprotein [Faecalibacterium prausnitzii],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Faecalibacterium phage FP_Mushu",80.1,7.20E-73,166,31,1,1,492,17,182,283.1
k141_195586,721,AXH74235.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",43.9,1.10E-26,164,76,6,170,634,1,157,130.2
k141_195588,9023,YP_009221981.1 nonstructural polyprotein [Goose dicistrovirus],"root,Viruses,Riboviria,Picornavirales,Dicistroviridae,unclassified Dicistroviridae,Goose dicistrovirus",45.6,0.00E+00,1836,942,12,8694,3298,3,1818,1616.7
k141_19578,1593,"APG78299.1 RdRp, partial [Hubei partiti-like virus 55]","root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei partiti-like virus 55",57.2,1.90E-159,481,202,3,1536,100,7,485,572.4
k141_195861,1546,AXF38744.1 RNA-dependent RNA polymerase [Shelduck picobirnavirus I],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Shelduck picobirnavirus I",82.3,1.20E-243,498,86,1,51,1544,1,496,852
k141_196168,755,"AWV66991.1 RdRp, partial [Lysoka partiti-like virus]","root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Lysoka partiti-like virus",36,8.30E-28,228,123,6,123,746,212,436,134
k141_196192,1913,ACU11563.1 putative RNA-dependent RNA polymerase [Anthurium mosaic-associated virus],"root,Viruses,Riboviria,Chrysoviridae,Alphachrysovirus,Anthurium mosaic-associated chrysovirus,Anthurium mosaic-associated virus",31.2,1.20E-09,186,113,6,842,1369,628,808,75.1
k141_196725,1000,AVX53679.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",49.1,1.90E-64,277,133,3,963,157,94,370,256.1
k141_196925,486,"AVX53545.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",53.5,3.10E-36,159,70,2,481,5,301,455,161.4
k141_19704,356,AWK77887.1 polyprotein [Victoria bee virus 2],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Victoria bee virus 2",94,6.80E-57,117,7,0,353,3,2190,2306,229.6
k141_197135,1348,AVX53655.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",61.9,6.00E-45,155,52,3,456,1,48,198,191.8
k141_197149,386,"AVX53294.1 RNA-dependent RNA polymerase, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",73,2.60E-38,115,30,1,34,378,6,119,167.9
k141_197492,629,AVN99304.1 methyltransferase/helicase [Pistachio ampelovirus A],"root,Viruses,Riboviria,Closteroviridae,Ampelovirus,unclassified Ampelovirus,Pistachio ampelovirus A",49.8,2.10E-53,209,105,0,2,628,72,280,218.8
k141_197719,1079,ARQ16050.1 putative VP4 [Human gut microviridae SH-CHD12],"root,Viruses,Microviridae,unclassified Microviridae,Human gut microviridae SH-CHD12",29.4,9.10E-28,323,175,6,1076,111,70,340,134.4
k141_197872,873,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",78.4,5.10E-138,291,63,0,1,873,190,480,500.4
k141_1982,903,AXF52089.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",62,6.20E-62,200,69,2,1,597,426,619,247.7
k141_198237,240,ASG92545.1 putative non-structural protein [Picornavirales Q_sR_OV_023],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales Q_sR_OV_023",60,7.70E-20,80,32,0,1,240,554,633,105.9
k141_198302,311,AYR18652.1 spike glycoprotein [Betacoronavirus sp.],"root,Viruses,Riboviria,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,unclassified Betacoronavirus,Betacoronavirus sp.",81.6,6.20E-46,103,19,0,311,3,1147,1249,193
k141_19839,389,AXF52363.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",59.3,5.40E-31,135,36,3,353,6,236,370,143.7
k141_198426,391,AAL32458.1 coat protein [Apple stem pitting virus],"root,Viruses,Riboviria,Tymovirales,Betaflexiviridae,Quinvirinae,Foveavirus,Apple stem pitting virus",100,7.80E-70,130,0,0,391,2,231,360,272.7
k141_198655,461,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",63.4,5.90E-53,153,55,1,459,1,1088,1239,216.9
k141_198894,1202,"AVX53813.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",44.2,7.90E-73,355,182,6,45,1067,108,460,284.3
k141_198998,436,YP_009505615.1 polyprotein [Kunsagivirus A],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Kunsagivirus,Kunsagivirus A",84.8,4.30E-69,145,22,0,436,2,2085,2229,270.4
k141_199259,859,YP_009272813.1 polyprotein [Bat tymo-like virus],"root,Viruses,Riboviria,Tymovirales,unclassified Tymovirales,Bat tymo-like virus",67.7,2.00E-102,257,83,0,859,89,1406,1662,382.1
k141_199644,2629,AVX53537.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",40.1,1.00E-109,569,319,7,925,2592,1,560,407.9
k141_19983,733,APG78222.1 RdRp [Hubei partiti-like virus 33],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei partiti-like virus 33",68.3,2.10E-100,243,77,0,731,3,233,475,375.2
k141_19984,803,YP_009344965.1 hypothetical protein 2 [Jingmen tombus-like virus 2],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Jingmen tombus-like virus 2",37.5,3.00E-15,168,97,5,307,801,77,239,92.4
k141_199987,481,"BBC20586.1 capsid protein, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",40.2,1.10E-06,97,54,2,19,309,361,453,63.2
k141_200223,310,AXF38744.1 RNA-dependent RNA polymerase [Shelduck picobirnavirus I],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Shelduck picobirnavirus I",88.3,8.10E-46,103,12,0,2,310,20,122,192.6
k141_201130,1727,AVX53282.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",78.6,3.30E-274,556,119,0,1700,33,1,556,953.7
k141_201162,634,AWY06877.1 PGRP protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",67.3,6.00E-80,214,46,1,634,65,65,278,307
k141_201224,450,AVX53625.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",37.7,2.20E-15,159,70,6,443,3,412,553,92
k141_201232,747,"AIB06801.1 RNA-dependent RNA polymerase, partial [Fox fecal picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Fox fecal picobirnavirus",80.2,6.80E-115,237,47,0,4,714,280,516,423.3
k141_201370,660,YP_006792625.1 polyprotein [Bovine hungarovirus 1],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Hunnivirus,Hunnivirus A,Bovine hungarovirus 1",81.7,1.90E-97,218,37,2,658,8,86,301,365.2
k141_201414,1935,YP_009345057.1 hypothetical protein 2 [Xinzhou nematode virus 7],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Xinzhou nematode virus 7",34,2.60E-09,141,82,3,1458,1859,75,211,73.9
k141_20145,612,AXH74517.1 hypothetical protein [CrAssphage sp.],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,CrAssphage sp.",50.9,2.80E-26,114,56,0,342,1,37,150,128.6
k141_201539,2626,AVX53455.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",34.8,4.60E-73,538,314,11,998,2572,36,549,286.2
k141_201697,909,YP_009345054.1 hypothetical protein 1 [Wuhan millipede virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wuhan millipede virus 3",52.7,9.60E-79,298,135,5,30,908,1474,1770,303.5
k141_201723,3930,AMQ23530.1 replicase [Leviviridae sp.],"root,Viruses,Riboviria,Leviviridae,unclassified Leviviridae,Leviviridae sp.",29.3,9.90E-48,614,371,20,2018,3763,6,588,202.6
k141_20262,959,"AVX53825.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",32.1,3.20E-32,324,185,13,6,947,133,431,149.1
k141_202759,1263,AXH76785.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",56.8,3.20E-64,199,85,1,1248,655,370,568,255.8
k141_202985,1831,AVA30701.1 RNA-dependent RNA polymerase [Picobirnavirus sp.],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",69.4,6.80E-217,533,160,3,195,1787,1,532,763.5
k141_202990,2272,AVX53312.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",42.4,4.10E-94,443,240,5,1311,4,64,498,355.9
k141_203132,861,ALS03564.1 VP1 [Gokushovirus WZ-2015a],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Gokushovirus WZ-2015a",41.8,6.10E-51,297,150,6,857,9,102,389,211.1
k141_203282,872,AXH77697.1 putative capsid protein [Circoviridae sp.],"root,Viruses,Circoviridae,unclassified Circoviridae,Circoviridae sp.",33.3,1.70E-16,204,121,7,184,759,23,223,96.7
k141_203477,2564,AVX53573.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",50.1,1.50E-137,555,236,12,931,2547,4,533,500.4
k141_203570,417,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",68.1,1.80E-48,138,43,1,1,414,855,991,201.8
k141_204179,826,"AVX53659.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",42.8,2.20E-42,276,129,8,1,804,301,555,182.6
k141_204330,604,ATY47694.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",73.1,7.70E-85,201,54,0,2,604,133,333,323.2
k141_20455,9085,YP_009272812.1 polyprotein [Washington bat picornavirus],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,unclassified Picornaviridae,Washington bat picornavirus",48.9,0.00E+00,2457,1202,28,1640,8917,256,2689,2293.8
k141_204606,1092,ASN72393.1 hypothetical protein 10S7_16 [uncultured Caudovirales phage],"root,Viruses,Caudovirales,environmental samples,uncultured Caudovirales phage",50.3,6.20E-32,155,74,1,1039,584,8,162,148.3
k141_205244,459,XP_015342806.1 PREDICTED: endogenous retrovirus group FC1 Env polyprotein-like [Marmota marmota marmota],"root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Sciuridae,Xerinae,Marmotini,Marmota,Marmota marmota,Marmota marmota marmota",47.2,8.90E-25,144,62,4,3,416,411,546,123.2
k141_205812,395,AWY06846.1 KID repeat-containing protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",82,4.50E-41,100,18,0,2,301,126,225,177.2
k141_205878,397,AFB75804.1 hypothetical protein 2019_scaffold260_00013 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",60.3,8.80E-13,63,25,0,190,2,31,93,83.2
k141_206423,923,AVX53264.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",63.5,2.70E-113,323,100,1,921,7,213,535,418.3
k141_206446,5009,YP_009344965.1 hypothetical protein 2 [Jingmen tombus-like virus 2],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Jingmen tombus-like virus 2",31.5,4.20E-35,409,255,11,3219,2011,86,475,161
k141_206574,2071,YP_009329842.1 RNA-dependent RNA polymerase [Hubei narna-like virus 24],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei narna-like virus 24",24.8,4.60E-36,602,341,15,143,1663,21,605,162.9
k141_206764,608,"AVD97055.1 RNA-dependent RNA polymerase, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",61.9,8.40E-63,202,76,1,2,607,36,236,250
k141_206992,2620,AVX53559.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",33.5,1.20E-60,513,301,8,1101,2579,47,539,245
k141_20714,327,AVX53443.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",50.5,3.90E-22,111,52,2,326,3,175,285,114
k141_207373,2349,"AVX53819.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",63.5,9.80E-144,411,141,5,1584,373,12,420,520.8
k141_207382,764,ALP47453.1 Seg-like homing endonuclease [Vibrio phage phi-ST2],"root,Viruses,Caudovirales,Myoviridae,Tevenvirinae,Schizotequatrovirus,unclassified Schizotequatrovirus,Vibrio phage phi-ST2",41,3.00E-09,100,45,3,53,352,3,88,72.4
k141_207654,332,ARM69321.1 AAA family ATPase [Staphylococcus phage vB_Sau_Clo6],"root,Viruses,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,unclassified Kayvirus,Staphylococcus phage Stab22",65.8,1.40E-32,111,35,2,330,1,136,244,148.7
k141_207968,1236,APA29021.1 polyprotein [Picornaviridae sp. rodent/Rn/PicoV/SX2015_2],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Hunnivirus,unclassified Hunnivirus,Picornaviridae sp. rodent/Rn/PicoV/SX2015_2",77.4,1.50E-188,412,92,1,1234,2,1492,1903,668.7
k141_208227,1916,ART66802.1 ORF2 [Bat Middle East Hepe-Astrovirus],"root,Viruses,Riboviria,unclassified Riboviria,unclassified ssRNA viruses,unclassified ssRNA positive-strand viruses,Bat Middle East Hepe-Astrovirus",40.7,1.40E-79,509,240,15,411,1799,33,525,307.4
k141_208428,313,ADF97545.1 PlyM20 [uncultured phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,environmental samples,uncultured phage",79.5,2.60E-28,78,16,0,78,311,1,78,134.4
k141_208896,2372,YP_025096.1 capsid protein p71 [Dendrolimus punctatus virus],"root,Viruses,Riboviria,Alphatetraviridae,Omegatetravirus,Dendrolimus punctatus virus",43.2,2.90E-111,581,289,11,279,1985,67,618,412.9
k141_208958,727,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",67.1,1.30E-89,240,77,2,3,722,836,1073,339.3
k141_209026,495,YP_009345054.1 hypothetical protein 1 [Wuhan millipede virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wuhan millipede virus 3",46.5,3.60E-40,200,71,2,494,3,472,671,174.5
k141_209173,637,AVX53387.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",36.8,3.00E-18,163,98,5,2,484,189,348,102.1
k141_209376,438,AWY06867.1 putative radical SAM domain protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",77.4,1.10E-59,146,32,1,436,2,108,253,239.2
k141_209482,377,AXQ66152.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",45.8,1.30E-26,120,60,2,376,17,617,731,129
k141_209610,359,YP_009626211.1 putative helicase [Acinetobacter phage vB_AbaS_Loki],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Acinetobacter phage vB_AbaS_Loki",32.1,7.70E-08,109,72,1,349,23,175,281,66.6
k141_209707,2801,AVX53657.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",52.6,2.10E-161,595,244,7,789,2522,20,593,579.7
k141_209875,2992,AVX53553.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",26.2,1.30E-47,657,395,17,1942,56,14,608,201.8
k141_210081,360,YP_009342464.1 RdRp [Wuhan house centipede virus 5],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wuhan house centipede virus 5",39.4,7.00E-09,94,56,1,352,74,377,470,70.1
k141_210401,342,"ALA11565.1 RNA-dependent RNA polymerase, partial [Picobirnavirus PREDICT_PbV-102]","root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Picobirnavirus PREDICT_PbV-102",61.1,1.70E-33,113,44,0,3,341,1,113,151.8
k141_210459,2606,YP_009330098.1 hypothetical protein 3 [Hubei sobemo-like virus 13],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei sobemo-like virus 13",51.7,1.10E-90,354,166,5,1493,2548,1,351,344.7
k141_210936,991,AXF52089.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",49.8,2.70E-71,331,153,5,2,991,136,454,278.9
k141_210970,333,AVX53675.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",55.5,1.90E-29,110,49,0,2,331,98,207,138.3
k141_211061,389,AWA82270.1 putative RNA-dependent RNA polymerase [Tama virus],"root,Viruses,Riboviria,Solemoviridae,Sobemovirus,unclassified Sobemovirus,Tama virus",69,2.10E-51,129,40,0,3,389,155,283,211.5
k141_211086,2609,AXL14747.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",34.2,2.40E-21,202,121,3,399,1004,284,473,114.4
k141_211365,478,WP_103241580.1 virion core protein (lumpy skin disease virus) [Acetatifactor muris],"root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Acetatifactor muris",62,7.90E-32,158,51,1,475,2,281,429,146.7
k141_211924,433,YP_009336994.1 hypothetical protein 1 [Wenzhou picorna-like virus 28],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wenzhou picorna-like virus 28",48.2,3.00E-30,139,70,2,23,433,1457,1595,141.4
k141_212244,1956,YP_009259710.1 putative CP [Chimpanzee faeces associated circular DNA virus 1],"root,Viruses,Circoviridae,unclassified Circoviridae,Chimpanzee faeces associated circular DNA virus 1",68,4.30E-76,225,69,2,6,680,26,247,295.8
k141_212900,1371,AXH74544.1 recombinase [CrAssphage sp.],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,CrAssphage sp.",58,1.50E-96,314,126,2,1150,218,5,315,363.2
k141_2130,1438,ASU55991.1 polyprotein [Yam necrosis-associated virus],"root,Viruses,Riboviria,Picornavirales,Secoviridae,unclassified Secoviridae,Yam necrosis-associated virus",27.2,3.80E-13,261,166,8,162,911,426,673,86.3
k141_213424,1707,AXF38744.1 RNA-dependent RNA polymerase [Shelduck picobirnavirus I],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Shelduck picobirnavirus I",81.5,9.00E-264,531,98,0,1631,39,1,531,919.1
k141_213985,207,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",79.4,3.10E-25,68,14,0,4,207,834,901,123.6
k141_213991,462,AXH74496.1 hypothetical protein [CrAssphage sp.],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,CrAssphage sp.",78.5,1.40E-54,149,32,0,15,461,230,378,222.2
k141_21411,321,"AVX29481.1 polyprotein, partial [Marmot cardiovirus]","root,Viruses,Riboviria,Picornavirales,Picornaviridae,Cardiovirus,unclassified Cardiovirus,Marmot cardiovirus",90.6,3.40E-07,32,3,0,317,222,778,809,64.3
k141_214138,570,YP_337907.1 spike glycoprotein [Breda virus],"root,Viruses,Riboviria,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,Renitovirus,Bovine torovirus,Breda virus",93.7,2.00E-103,190,12,0,570,1,1311,1500,384.8
k141_214395,491,AVX53351.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",34.2,1.20E-11,152,80,4,34,489,437,568,79.7
k141_214425,451,YP_009336572.1 hypothetical protein 2 [Hubei diptera virus 1],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei diptera virus 1",60.1,6.90E-46,148,59,0,3,446,251,398,193.4
k141_214571,738,ASG92538.1 putative non-structural protein [Picornavirales Q_sR_OV_042],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales Q_sR_OV_042",29.8,8.70E-22,302,147,7,16,738,205,502,114
k141_21463,610,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",60.4,8.10E-66,202,77,3,609,4,1044,1242,260
k141_214676,888,AUM61674.1 Rep [uncultured virus],"root,Viruses,environmental samples,uncultured virus",29.1,1.20E-14,206,133,6,608,6,12,209,90.5
k141_214716,1224,YP_009336743.1 hypothetical protein 1 [Wenling crustacean virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wenling crustacean virus 3",31,4.60E-36,332,210,7,1091,108,1636,1952,162.2
k141_214825,484,QBP37020.1 putative polyprotein [Lampyris noctiluca iflavirus 2],"root,Viruses,Riboviria,Picornavirales,Iflaviridae,unclassified Iflaviridae,Lampyris noctiluca iflavirus 2",35.5,3.70E-13,169,88,7,479,3,1251,1408,84.7
k141_215088,554,ARQ16009.1 putative VP4 [Human gut gokushovirus],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Human gut gokushovirus",51,4.50E-07,51,25,0,156,4,45,95,64.7
k141_215119,2511,AVX53635.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",36.3,9.70E-89,575,330,13,830,2485,4,565,338.2
k141_215654,1040,AXH73065.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",24.3,3.80E-07,301,189,12,930,112,393,682,65.9
k141_215822,1921,"AIB06801.1 RNA-dependent RNA polymerase, partial [Fox fecal picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Fox fecal picobirnavirus",72.3,4.80E-229,524,135,2,1697,126,3,516,803.9
k141_215833,347,YP_009333146.1 RNA-dependent RNA polymerase [Beihai narna-like virus 26],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai narna-like virus 26",41.6,5.40E-06,77,45,0,13,243,225,301,60.5
k141_216291,447,ARQ16001.1 putative VP1 [Human gut gokushovirus],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Human gut gokushovirus",54.7,2.00E-37,148,64,1,3,446,341,485,165.2
